index,nerdiness
0,0.23799999999999996
1,0.841
2,0.8527499999999999
3,0.639
4,0.88775
5,0.0465
6,0.7
7,0.77325
8,0.436
9,0.455
10,0.6085
11,0.9132500000000001
12,0.9049999999999999
13,0.39725
14,0.711
15,0.43425
16,0.128
17,0.53175
18,0.69575
19,0.665
20,0.35450000000000004
21,0.31525000000000003
22,0.5947499999999999
23,0.50925
24,0.1275
25,0.6755
26,0.7775
27,0.777
28,0.442
29,0.0395
30,0.08224999999999999
31,0.22325
32,0.88975
33,0.5395
34,0.67175
35,0.14625
36,0.4145
37,0.40399999999999997
38,0.6399999999999999
39,0.7797499999999999
40,0.7195
41,0.12725
42,0.7215
43,0.03175
44,0.7789999999999999
45,0.26625
46,0.78325
47,0.293
48,0.9512499999999999
49,0.813
50,0.40399999999999997
51,0.11699999999999999
52,0.81375
53,0.9025
54,0.9375
55,0.7975
56,0.21175
57,0.6615
58,0.33725000000000005
59,0.63075
60,0.8255
61,0.4655
62,0.86575
63,0.60225
64,0.694
65,0.52125
66,0.2225
67,0.482
68,0.17875
69,0.56375
70,0.9784999999999999
71,0.47975
72,0.5057499999999999
73,0.7705000000000001
74,0.7315
75,0.23625000000000002
76,0.07625
77,0.68675
78,0.64525
79,0.844
80,0.9035
81,0.7464999999999999
82,0.216
83,0.11675
84,0.39699999999999996
85,0.653
86,0.9135
87,0.76225
88,0.77375
89,0.7857500000000001
90,0.87825
91,0.2385
92,0.2865
93,0.48150000000000004
94,0.8847499999999999
95,0.0985
96,0.9205
97,0.717
98,0.3145
99,0.89225
100,0.491
101,0.04675
102,0.2575
103,0.82475
104,0.4365
105,0.26
106,0.47725
107,0.8235
108,0.9904999999999999
109,0.22425
110,0.7494999999999999
111,0.05775
112,0.48824999999999996
113,0.5725
114,0.854
115,0.85975
116,0.93525
117,0.18575
118,0.7917500000000001
119,0.78375
120,0.14950000000000002
121,0.15475
122,0.1755
123,0.907
124,0.89075
125,0.9672499999999999
126,0.6685000000000001
127,0.6757500000000001
128,0.48975
129,0.22899999999999998
130,0.9535
131,0.673
132,0.78675
133,0.329
134,0.19574999999999998
135,0.052500000000000005
136,0.925
137,0.6752499999999999
138,0.983
139,0.446
140,0.9357500000000001
141,0.62625
142,0.88525
143,0.4775
144,0.752
145,0.08475
146,0.069
147,0.9575
148,0.53125
149,0.977
150,0.0645
151,0.64
152,0.9392499999999999
153,0.766
154,0.03875
155,0.07575000000000001
156,0.1015
157,0.3035
158,0.7042499999999999
159,0.5782499999999999
160,0.092
161,0.50675
162,0.5802499999999999
163,0.7284999999999999
164,0.72325
165,0.2265
166,0.31825000000000003
167,0.461
168,0.8125
169,0.42325
170,0.8565
171,0.7065
172,0.8547499999999999
173,0.745
174,0.16399999999999998
175,0.46875
176,0.3155
177,0.35275
178,0.75075
179,0.48750000000000004
180,0.7144999999999999
181,0.8724999999999999
182,0.31
183,0.85775
184,0.8234999999999999
185,0.8504999999999999
186,0.8764999999999998
187,0.7255
188,0.455
189,0.43925
190,0.64925
191,0.976
192,0.16225
193,0.62775
194,0.7535000000000001
195,0.384
196,0.41525
197,0.57725
198,0.5115000000000001
199,0.9495
200,0.17575000000000002
201,0.5595
202,0.84475
203,0.86725
204,0.845
205,0.745
206,0.49975
207,0.7695000000000001
208,0.9652499999999999
209,0.5225000000000001
210,0.95625
211,0.8705
212,0.12425
213,0.82575
214,0.61675
215,0.861
216,0.486
217,0.7244999999999999
218,0.90525
219,0.0415
220,0.9175
221,0.1265
222,0.451
223,0.552
224,0.50875
225,0.341
226,0.2625
227,0.55125
228,0.874
229,0.89125
230,0.957
231,0.40549999999999997
232,0.452
233,0.7995
234,0.22725
235,0.64925
236,0.14375
237,0.116
238,0.58525
239,0.6325000000000001
240,0.675
241,0.792
242,0.16874999999999998
243,0.874
244,0.14100000000000001
245,0.0965
246,0.6839999999999999
247,0.86575
248,0.654
249,0.44725
250,0.757
251,0.90225
252,0.13
253,0.45825000000000005
254,0.73325
255,0.76725
256,0.72225
257,0.25175000000000003
258,0.85575
259,0.78725
260,0.705
261,0.22599999999999998
262,0.442
263,0.8147500000000001
264,0.43575
265,0.61825
266,0.8185
267,0.9197500000000001
268,0.743
269,0.6637500000000001
270,0.18375
271,0.37625
272,0.1335
273,0.33549999999999996
274,0.73725
275,0.269
276,0.09175
277,0.51925
278,0.3635
279,0.915
280,0.6125
281,0.2135
282,0.951
283,0.65925
284,0.39849999999999997
285,0.79925
286,0.18775
287,0.68225
288,0.5725
289,0.95275
290,0.9550000000000001
291,0.38874999999999993
292,0.91025
293,0.4455
294,0.83425
295,0.48225
296,0.673
297,0.5045
298,0.8575
299,0.73525
300,0.1955
301,0.6894999999999999
302,0.15675
303,0.2125
304,0.55025
305,0.89175
306,0.6262500000000001
307,0.338
308,0.745
309,0.6034999999999999
310,0.82125
311,0.163
312,0.5825
313,0.0395
314,0.66
315,0.45575
316,0.39425
317,0.12275
318,0.70425
319,0.852
320,0.593
321,0.771
322,0.7049999999999998
323,0.77625
324,0.521
325,0.76575
326,0.6287499999999999
327,0.41700000000000004
328,0.8275
329,0.7215
330,0.66
331,0.9714999999999999
332,0.89575
333,0.5882499999999999
334,0.327
335,0.32375000000000004
336,0.49750000000000005
337,0.9055
338,0.14150000000000001
339,0.43624999999999997
340,0.6445
341,0.4565
342,0.8540000000000001
343,0.49024999999999996
344,0.91275
345,0.7135
346,0.4795
347,0.8475
348,0.26925
349,0.46625
350,0.88825
351,0.67
352,0.9367500000000001
353,0.6715
354,0.78075
355,0.544
356,0.86775
357,0.8559999999999999
358,0.504
359,0.22975
360,0.303
361,0.38325000000000004
362,0.407
363,0.37374999999999997
364,0.882
365,0.5964999999999999
366,0.6545000000000001
367,0.6115
368,0.908
369,0.15725
370,0.975
371,0.889
372,0.92425
373,0.46875
374,0.5607500000000001
375,0.41674999999999995
376,0.13524999999999998
377,0.5774999999999999
378,0.69975
379,0.55975
380,0.38475000000000004
381,0.55575
382,0.786
383,0.5815
384,0.6527499999999999
385,0.62575
386,0.7509999999999999
387,0.909
388,0.7652500000000001
389,0.73475
390,0.831
391,0.44725
392,0.6335
393,0.2705
394,0.6047499999999999
395,0.4165
396,0.743
397,0.7477500000000001
398,0.48075
399,0.9515
400,0.61225
401,0.28975
402,0.89825
403,0.15725
404,0.7057499999999999
405,0.229
406,0.6712500000000001
407,0.441
408,0.7587499999999999
409,0.505
410,0.54925
